BackendTime,servoVoltage,ch0sens,ch1sens,ch2sens,ch3sens,ch4sens,ch5sens,flowmeter,Of,FuelFlowCalc,oxAngle,fuelAngle,system_status,system_time
1740321436479.929,5.956106185913086,26.204050064086918,17.891691207885742,18.233211517333984,3.2428410053253174,30.47340583801269,663.0,0.2275720089673996,-0.9812649488449096,0.0,0,160,65537,5167379
1740321436497.9873,5.792638301849365,24.33232688903809,17.82208251953125,18.186267852783203,3.072437286376953,30.466148376464844,659.0,0.2327835410833358,-0.9812649488449096,0.0,0,160,65537,5167398
1740321436517.516,5.72138261795044,22.16441345214844,17.729360580444336,18.110675811767575,2.834242105484009,30.440832138061523,674.0,0.2267626076936721,-0.9812649488449096,0.0,0,160,65537,5167417
1740321436537.042,5.725574016571045,19.66891860961914,17.6396484375,18.01465606689453,2.5544912815093994,30.423254013061523,665.0,0.2292157411575317,-0.9812649488449096,0.0,0,160,65537,5167438
1740321436558.6304,6.425552845001221,16.802753448486328,17.51885223388672,17.885831832885742,2.254460096359253,30.431262969970703,685.0,0.2308024019002914,-0.9812649488449096,0.0,0,160,65537,5167459
1740321436580.39,5.780063629150391,13.723569869995115,17.39181900024414,17.74829864501953,1.9146366119384768,30.476093292236328,663.0,0.2406595796346664,-0.9812649488449096,0.0,0,160,65537,5167480
1740321436598.7146,5.780063629150391,10.225696563720703,17.255146026611328,17.619348526000977,1.5820050239562988,30.40643119812012,694.0,0.2272631973028183,-0.9812649488449096,0.0,0,0,65537,5167501
1740321436619.8655,5.725574016571045,7.415755748748779,17.18817138671875,17.542646408081055,1.3720024824142456,30.41572952270508,668.0,0.2385250329971313,-0.9812649488449096,0.0,0,0,65537,5167520
1740321436641.4883,5.595638275146484,4.818348407745361,17.103296279907227,17.468414306640625,1.190208911895752,30.411375045776367,688.0,0.2387465685606002,-0.9812649488449096,0.0,0,0,65537,5167541
1740321436661.796,6.387829780578613,1.956429362297058,17.042110443115234,17.392839431762695,1.026841402053833,30.39949607849121,694.0,0.2284142076969146,-0.9812649488449096,0.0,0,0,65537,5167562
1740321436683.5068,5.90161657333374,0.828718900680542,17.01179313659668,17.39156723022461,0.9345336556434632,30.37568473815918,645.0,0.2310509979724884,-0.9812649488449096,0.0,0,0,65537,5167584
1740321436703.709,5.679467678070068,0.7561003565788269,16.984756469726562,17.35748863220215,0.9432306289672852,30.38858413696289,646.0,0.2407911568880081,-0.9812649488449096,0.0,0,0,65537,5167603
1740321436727.017,6.086042404174805,0.736964762210846,16.95549774169922,17.326419830322266,0.9650269746780396,30.379070281982425,688.0,0.2372875213623047,-0.9812649488449096,0.0,0,0,65537,5167624
1740321436747.4016,5.6878509521484375,0.7304608225822449,16.941450119018555,17.30918312072754,0.9700957536697388,30.323383331298828,668.0,0.2333139926195144,-0.9812649488449096,0.0,0,0,65537,5167644
1740321436767.227,6.622552871704102,0.7160016298294067,16.881427764892578,17.260520935058594,0.9723371863365172,30.352140426635746,686.0,0.2383211404085159,-0.9812649488449096,0.0,0,0,65537,5167665
1740321436783.629,5.742340564727783,0.7129019498825073,16.772275924682617,17.138397216796875,0.9648818373680116,30.354183197021484,674.0,0.2432190626859665,-0.9812649488449096,0.0,0,0,65537,5167685
1740321436803.7927,5.671084880828857,0.6978156566619873,16.55474281311035,16.917638778686523,0.970407485961914,30.371545791625977,667.0,0.2374594062566757,-0.9812649488449096,0.0,0,0,65537,5167705
1740321436825.3147,5.671084880828857,0.6946622133255005,16.247230529785156,16.611934661865234,0.9712514281272888,30.39890480041504,676.0,0.2375088185071945,-0.9812649488449096,0.0,0,0,65537,5167726
1740321436846.0845,5.633361339569092,0.6899858117103577,15.877973556518556,16.230960845947266,0.9745356440544128,30.37213706970215,662.0,0.2310917824506759,-0.9812649488449096,0.0,0,0,65537,5167747
1740321436867.6978,6.0525102615356445,0.6848435401916504,15.291667938232422,15.63446044921875,0.9789379239082336,30.35364532470703,666.0,0.2274355143308639,-0.9812649488449096,0.0,0,0,65537,5167766
1740321436886.8716,5.658510208129883,0.691150426864624,14.349078178405762,14.68221378326416,0.9783520102500916,30.3896598815918,691.0,0.2213319540023803,-0.9812649488449096,0.0,0,0,65537,5167788
1740321436908.423,5.742340564727783,0.6902545690536499,13.698288917541504,14.03608226776123,0.9813459515571594,30.359235763549805,665.0,0.217682272195816,-0.9812649488449096,0.0,0,0,65537,5167807
1740321436928.483,5.847127437591553,0.7092289328575134,12.337313652038574,12.653785705566406,0.983286440372467,30.36310577392578,687.0,0.2178171426057815,-0.9812649488449096,0.0,0,0,65537,5167829
1740321436949.346,5.842936038970947,0.7321450710296631,10.924612045288086,11.259485244750977,0.9923112988471984,30.37616729736328,666.0,0.1987919062376022,-0.9812649488449096,0.0,0,0,65537,5167849
1740321436969.8906,5.834553241729736,0.7361764311790466,9.3798246383667,9.679704666137695,1.0013846158981323,30.42465209960937,678.0,0.1833622008562088,-0.9812649488449096,0.0,0,0,65537,5167869
1740321436990.336,5.880659103393555,0.7321271300315857,7.7722907066345215,8.062926292419434,1.003513216972351,30.43663787841797,672.0,0.1724937707185745,-0.9812649488449096,0.0,0,0,65537,5167889
1740321437010.8794,5.817787170410156,0.7588775753974915,6.17909049987793,6.426043510437012,1.0042818784713743,30.47813606262207,682.0,0.1481581628322601,-0.9812649488449096,0.0,0,0,65537,5167910
1740321437031.2627,6.630936145782471,0.7800557017326355,4.7836785316467285,4.998380661010742,1.0085389614105225,30.513341903686523,669.0,0.1343394666910171,-0.9812649488449096,0.0,0,0,65537,5167930
1740321437051.7493,5.868084907531738,0.7927231788635254,3.624613046646118,3.7832162380218506,1.0108987092971802,30.54930305480957,668.0,0.1050224527716636,-0.9812649488449096,0.0,0,0,65537,5167951
1740321437072.3677,7.104574203491211,0.8093861937522888,2.7570786476135254,2.844711780548096,1.0130164623260498,30.56231117248535,668.0,0.0878113657236099,-0.9812649488449096,0.0,0,0,65537,5167971
1740321437092.7373,5.821978569030762,0.8210861682891846,2.057464599609375,2.0555295944213867,1.013408899307251,30.5613956451416,701.0,0.0668102130293846,-0.9812649488449096,0.0,0,0,65537,5167992
1740321437113.629,5.834553241729736,0.8182194232940674,1.672960877418518,1.65846586227417,1.016042709350586,30.57526397705078,673.0,0.0535699985921382,-0.9812649488449096,0.0,0,0,65537,5168012
1740321437134.436,5.851318836212158,0.823110818862915,1.3317630290985107,1.397393822669983,1.014779567718506,30.60445213317871,676.0,0.0325016193091869,-0.9812649488449096,0.0,0,0,65537,5168033
1740321437154.6145,6.932723045349121,0.8213728666305542,1.1166846752166748,1.267529845237732,1.0148494243621826,30.5992374420166,687.0,0.0210400372743606,-0.9812649488449096,0.0,0,0,65537,5168054
1740321437172.8977,5.77168083190918,0.8093683123588562,1.0163302421569824,1.163914442062378,1.0154353380203247,30.584508895874023,698.0,0.0225591603666543,-0.9812649488449096,0.0,0,0,65537,5168075
1740321437196.9355,6.576447010040283,0.8157647252082825,0.9670220017433168,1.1372536420822144,1.015365481376648,30.54376602172852,707.0,0.0110975801944732,-0.9812649488449096,0.0,0,0,65537,5168096
1740321437216.795,5.884850978851318,0.8176102042198181,0.9456109404563904,1.1499210596084597,1.0164135694503784,30.57365226745605,674.0,0.0,-0.9812649488449096,0.0,0,0,65537,5168116
1740321437236.847,5.884850978851318,0.8160872459411621,0.9541932940483092,1.1286712884902954,1.0156772136688232,30.58493995666504,693.0,0.0096234939992427,-0.9812649488449096,0.0,0,0,65537,5168136
1740321437258.0352,5.90161657333374,0.811106264591217,0.9596938490867616,1.147502303123474,1.0149246454238892,30.56295585632324,666.0,0.0096234939992427,-0.9812649488449096,0.0,0,0,65537,5168157
1740321437278.6064,5.821978569030762,0.8160156011581421,0.9549278616905212,1.15173077583313,1.0166984796524048,30.6131591796875,671.0,0.0210850741714239,-0.9812649488449096,0.0,0,0,65537,5168177
1740321437299.8132,5.796829700469971,0.8059281706809998,0.9495168924331664,1.1426825523376465,1.0149998664855957,30.598054885864254,673.0,0.0114615811035037,-0.9812649488449096,0.0,0,0,65537,5168198
1740321437319.8494,5.96029806137085,0.8112137913703918,0.96109139919281,1.1481114625930786,1.0155482292175293,30.563600540161133,686.0,0.0114615811035037,-0.9812649488449096,0.0,0,0,65537,5168219
1740321437340.993,5.96029806137085,0.8056773543357849,0.9621485471725464,1.1404787302017212,1.0169026851654053,30.56161117553711,669.0,0.0,-0.9812649488449096,0.0,0,0,65537,5168240
1740321437362.428,6.002212524414063,0.8118946552276611,0.9524374008178712,1.1341718435287476,1.015811562538147,30.57623291015625,651.0,0.0,-0.9812649488449096,0.0,0,0,65537,5168260
1740321437390.7476,6.035744667053223,0.8100312352180481,0.9570062756538392,1.1280083656311035,1.0141559839248655,30.58628273010254,659.0,0.0,-0.9812649488449096,0.0,0,0,65537,5168285
1740321437405.2056,5.985446929931641,0.8047277331352234,0.9488002061843872,1.1359635591506958,1.015494465827942,30.597732543945312,669.0,0.0,-0.9812649488449096,0.0,0,0,65537,5168305
1740321437421.3804,5.972872257232666,0.8093503713607788,0.9443208575248718,1.142485499382019,1.014865517616272,30.614341735839844,669.0,0.0,-0.9812649488449096,0.0,0,0,65537,5168321
1740321437440.5388,5.9686808586120605,0.8095295429229736,0.955662488937378,1.1341001987457275,1.014930009841919,30.610471725463867,689.0,0.0,-0.9812649488449096,0.0,0,0,65537,5168341
1740321437461.2988,5.972872257232666,0.8032227158546448,0.954999566078186,1.1358022689819336,1.0138174295425415,30.63353157043457,663.0,0.0,-0.9812649488449096,0.0,0,0,65537,5168362
1740321437482.304,5.9519147872924805,0.8147972226142883,0.9488539099693298,1.1319321393966677,1.0138657093048096,30.637401580810547,657.0,0.0,-0.9812649488449096,0.0,0,0,65537,5168383
1740321437502.6963,5.96029806137085,0.8005709648132324,0.9559133052825928,1.1184942722320557,1.014779567718506,30.66325569152832,662.0,0.0,-0.9812649488449096,0.0,0,0,65537,5168403
1740321437523.0825,5.96029806137085,0.8073974251747131,0.9453600645065308,1.1268258094787598,1.0149623155593872,30.638208389282227,674.0,0.0,-0.9812649488449096,0.0,0,0,65537,5168424
1740321437543.0747,6.2620849609375,0.8122350573539734,0.951577365398407,1.1273812055587769,1.0135700702667236,30.613534927368164,672.0,0.0,-0.9812649488449096,0.0,0,0,65537,5168444
1740321437564.6309,5.96029806137085,0.8119483590126038,0.945557177066803,1.125499963760376,1.0135700702667236,30.59730339050293,683.0,0.0,-0.9812649488449096,0.0,0,0,65537,5168465
1740321437584.145,5.96029806137085,0.802040159702301,0.9577409029006958,1.130928874015808,1.0153599977493286,30.59278678894043,663.0,0.0,-0.9812649488449096,0.0,0,0,65537,5168486
1740321437607.277,5.96029806137085,0.8054085969924927,0.95361989736557,1.1343151330947876,1.0134894847869873,30.625844955444336,699.0,0.0,-0.9812649488449096,0.0,0,0,65537,5168508
1740321437627.339,5.977063655853272,0.7958945631980896,0.9493377208709716,1.129029631614685,1.0136829614639282,30.59225082397461,681.0,0.0,-0.9812649488449096,0.0,0,0,65537,5168528
1740321437648.9717,5.889042377471924,0.7980087995529175,0.951362371444702,1.1361427307128906,1.0148440599441528,30.57381248474121,682.0,0.0,-0.9812649488449096,0.0,0,0,65537,5168549
1740321437669.5537,5.96029806137085,0.8134713768959045,0.9556804299354552,1.1177597045898438,1.01364004611969,30.604398727416992,694.0,0.0,-0.9812649488449096,0.0,0,0,65537,5168570
1740321437706.2288,5.943531513214111,0.7987075448036194,0.9469547271728516,1.1298179626464844,1.0129358768463137,30.598054885864254,683.0,0.0,-0.9812649488449096,0.0,0,0,65537,5168591
